Kind,Fwd Vanilla,Fwd Reactant,Fwd Reactant SpeedUp,Bwd Zygote,Bwd Reactant,Bwd Reactant SpeedUp
MLP,0.000504229,0.000517288,0.9747548754272283,0.001275736,0.00091808,1.389569536423841
KAN1,0.00637513,0.002134405,2.986841766206507,0.015504896,0.004843588,3.201117848999543
KAN2,0.005651889,0.001934863,2.9210796836778625,0.014421515,0.004603253,3.1328964538772905
